# A test dataset for interpolation, where the xyz vary in a random walk patterin
# time step. There are 10 points per timestep, as illustrated by the time column
time,x,y,z
0.0,675.0297905065192,1672.6820684730765,-124.14442820502654
0.0,9.0852354697237,1080.363474597831,266.4506394528842
0.0,783.6498618493837,-332.90868790089644,166.73196289611994
0.0,163.88116606175208,-978.1393719572736,1260.016529398092
0.0,-934.1529593143864,-590.4853596059422,-622.5048517597389
0.0,77.99426967464474,-184.5196836590583,1835.5681393474856
0.0,77.99426967464474,-184.5196836590583,1835.5681393474856
0.0,-269.98667369858055,-559.2891044933908,-1487.2591171480176
0.0,-710.8143185498654,-627.4209210346181,-1504.56518583112
0.0,-710.8143185498654,-627.4209210346181,-1504.56518583112
1.0,1668.4580965289847,745.846682848152,2807.1531096380813
1.0,-267.4433668726456,148.90396745731732,-185.1019615201871
1.0,2079.026938050769,151.01585523117177,301.7883722719676
1.0,3209.940878877803,-4804.699861272869,-1589.4798430288217
1.0,-1402.4597087610582,-4040.3210246320077,-1711.2703008101043
1.0,-390.2796442237164,-1309.0947421410037,2057.413318767218
1.0,3236.419900689428,-2210.181924327906,-466.4190154971202
1.0,1264.882784607237,69.2055606971569,-735.8630804566736
1.0,-1649.7630904197697,-2443.46907207704,-2705.84256566873
1.0,374.30576862206385,-3452.028323705201,-2087.952685417674
2.0,465.0448720701909,2222.779842838973,3455.3210484276715
2.0,3437.11300214523,491.6405298372583,-955.2665223528202
2.0,2052.032488574901,-80.28070954530929,-1052.0556283399499
2.0,1094.5190209660022,-5406.907252451447,-366.127265347086
2.0,242.63011544531992,-6997.3650053668625,350.72874418179754
2.0,-2831.9669441657607,-2748.783158930421,3919.9735569996146
2.0,3654.1470906989384,-3131.459466247481,-2144.8540619423975
2.0,-2654.4574631523137,2183.4500131349887,-1354.287832159103
2.0,-4306.135188216631,-1756.232492940117,-2043.315702861602
2.0,768.0282403603109,-6978.108634430669,-136.86243117295544
3.0,-493.303603620389,2945.5710538558005,3015.977272752648
3.0,3065.7950488175957,3567.7136627691966,-241.04137932932736
3.0,-160.63745943715548,-151.93278776521237,1903.7324611430824
3.0,-1297.8942271953392,-2277.6199408234343,-1402.6677018943808
3.0,1867.681760233716,-12236.85521354635,-1266.2584616045776
3.0,-119.48688702411482,-1104.9781501799732,2916.459469830542
3.0,3510.126847538271,-2957.3653297711385,-314.04982653824914
3.0,-647.3916673682654,1585.4353122032537,-696.785612839734
3.0,-3582.8631381213627,-1572.7109398691125,-3102.8361103956795
3.0,-522.2112688499377,-10953.246463632455,889.6724350537568
4.0,-299.1485049243082,114.829569754972,-821.5651578454349
4.0,5003.085029883374,2726.4230172384787,-294.0691302277611
4.0,-1564.7436471918602,-837.3618208187513,2024.1928810251354
4.0,-1953.2185203908757,-3882.1744792666723,3523.8165230761915
4.0,1083.4654539694006,-12559.426636878368,-1650.9803911668228
4.0,-3046.516783288352,-296.8764365508964,3519.554154497767
4.0,4102.367401667423,815.0064726499218,-383.47336594873576
4.0,-125.2811230084867,1934.5909378669317,-3034.141688078798
4.0,-3572.6362248364408,-1057.610158423584,-817.1904813656383
4.0,-991.3855356002316,-11102.13829516479,2393.538500427305
5.0,1282.9153891617857,-2986.4972923772934,-366.64528863717607
5.0,3184.310120293896,2863.5489668505334,2320.216378337095
5.0,1240.8449746803383,-2961.969248270961,-1190.7735880973198
5.0,-4756.920645975437,-2934.989617996309,3893.0842401408
5.0,2257.179641569941,-14398.275105345974,-1131.2148026699756
5.0,1334.3944683316054,2802.9923734841823,5083.199898052388
5.0,2121.294751406046,-751.5001120225525,-2857.3747877048995
5.0,-1257.8765822140306,1290.4679054555804,-5675.05491424735
5.0,-3373.3334946611585,569.4242763157556,226.69264986815688
5.0,-1998.3368438326302,-13563.866928032701,2987.507846893677
